QuestionID,QuestionText,A,B,C,D,CorrectAnswer,Explanation,Domain/Topic
1,Which of the following is a key benefit of cloud computing on AWS?,"Pay-as-you-go pricing eliminates the need for large upfront investments","Customers have full control over the physical data center infrastructure","Long procurement cycles are required to obtain new resources","On-premises infrastructure costs increase due to AWS usage","Pay-as-you-go pricing eliminates the need for large upfront investments","One of the primary benefits of AWS Cloud is the pay-as-you-go model, which means you don't need to invest heavily upfront in hardware. Instead, you pay only for the compute, storage, and other resources you actually use. This contrasts with traditional IT where you often face long procurement processes and significant capital expenditures. AWS manages the underlying data center infrastructure, so customers do not control the physical hardware directly.","Cloud Concepts"
2,A startup expects its web application traffic to fluctuate unpredictably. Which benefit of AWS Cloud does this scenario best illustrate?,"High elasticity, allowing automatic scaling of resources up or down","Strict capital expenditure, locking in fixed resource capacity","Unrestricted physical access to AWS data centers for quick upgrades","Global reach, deploying applications in multiple AWS regions simultaneously","High elasticity, allowing automatic scaling of resources up or down","Elasticity is the AWS Cloud's ability to automatically add or remove computing resources based on demand. In this scenario, AWS can rapidly scale the web application's resources up during traffic spikes and scale down when demand decreases. This ensures the application remains responsive without over-provisioning resources. Traditional fixed infrastructure lacks this flexibility, leading to either insufficient capacity or wasted idle resources.","Cloud Concepts"
3,Which advantage of AWS's global infrastructure helps reduce latency for end users worldwide?,"Ability to deploy applications across multiple AWS Regions","Requirement to maintain a single on-premises data center","Use of reserved hardware in a single Availability Zone","Outsourcing all IT operations to third-party data centers","Ability to deploy applications across multiple AWS Regions","AWS has multiple Regions across the globe, each containing multiple Availability Zones. By deploying applications in AWS Regions closer to end users, companies can significantly reduce network latency and improve performance. This global reach and presence is a key benefit of AWS, enabling applications to serve users from the nearest geographic location. In contrast, relying on a single on-premises data center can result in higher latency for distant users.","Cloud Concepts"
4,Why can AWS offer cost advantages compared to a traditional on-premises data center?,"AWS achieves economies of scale by serving many customers, reducing per-unit costs","AWS charges higher rates to offset the cost of global infrastructure","AWS requires customers to purchase more hardware than needed","AWS offers fixed pricing regardless of usage patterns","AWS achieves economies of scale by serving many customers, reducing per-unit costs","AWS can aggregate demand from a vast number of customers and operate at a massive scale. This scale allows AWS to achieve lower per-unit costs for power, hardware, and operations, savings which can be passed on to customers. This concept is known as economies of scale. Therefore, customers often find AWS more cost-effective than maintaining their own smaller-scale infrastructure, especially as AWS continuously optimizes and reduces prices over time.","Cloud Concepts"
5,Which statement best describes the financial model of AWS Cloud compared to traditional IT?,"AWS Cloud shifts IT spending from capital expenditure (CapEx) to operational expenditure (OpEx)","AWS Cloud requires significant upfront capital investment in hardware","Traditional IT is entirely OpEx while AWS is mostly CapEx","Using AWS Cloud eliminates all operational expenses","AWS Cloud shifts IT spending from capital expenditure (CapEx) to operational expenditure (OpEx)","AWS Cloud utilizes a pay-as-you-go model, which is an operational expenditure (OpEx) approach. Customers pay for resources as they consume them, avoiding large upfront capital expenditures (CapEx) on hardware and data centers. In traditional IT, companies often need to invest in equipment and infrastructure up front (CapEx) and then depreciate those costs over time. By shifting to AWS, businesses reduce CapEx and have more predictable, scalable OpEx based on usage.","Cloud Concepts"
6,Which of the following is one of the pillars of the AWS Well-Architected Framework?,Reliability,Scalability,Multitenancy,"Data Center Operations",Reliability,"The AWS Well-Architected Framework comprises multiple pillars that guide cloud architecture best practices. Reliability is one of these pillars, focusing on designing systems that work consistently and recover quickly from failures. Other pillars include Operational Excellence, Security, Performance Efficiency, Cost Optimization, and Sustainability. Terms like scalability and multitenancy are important cloud concepts, but they are not named pillars of the Well-Architected Framework.","Cloud Concepts"
7,What is the primary purpose of the AWS Cloud Adoption Framework (AWS CAF)?,"To help organizations develop a comprehensive plan for migrating to the cloud","To provide a reference architecture for deploying a specific application","To serve as a pricing calculator for cloud infrastructure costs","To enforce security compliance automatically across all AWS services","To help organizations develop a comprehensive plan for migrating to the cloud","The AWS Cloud Adoption Framework (CAF) provides guidance for organizations on how to transition to the AWS Cloud. It outlines a set of perspectives (business, people, governance, platform, security, and operations) to help plan and manage a cloud migration or adoption strategy. AWS CAF helps ensure that all aspects of an organization—technical, organizational, and process—are aligned for a successful cloud journey. It is not a pricing tool or an enforcement mechanism for security by itself.","Cloud Concepts"
8,Which AWS service can help transfer large amounts of data to AWS when a network transfer is impractical or too slow?,AWS Snowball,Amazon EC2,AWS Direct Connect,Amazon Aurora,AWS Snowball,"AWS Snowball is a petabyte-scale data transport solution that uses secure physical devices to transfer large amounts of data into and out of AWS. It is ideal when transferring data over the internet would be slow or impractical due to bandwidth limitations. AWS Direct Connect is a dedicated network connection but might still be time-prohibitive for extremely large data transfers. Amazon EC2 is a compute service and Amazon Aurora is a database; neither is used for data transport.","Cloud Concepts"
9,"In cloud financial management, what does the term 'right-sizing' refer to?","Adjusting resource types and sizes to match workload requirements and avoid overprovisioning","Purchasing the largest available instance types for maximum performance","Eliminating all operational expenses by moving to the cloud","Consolidating multiple cloud accounts into one account for billing","Adjusting resource types and sizes to match workload requirements and avoid overprovisioning","Right-sizing involves analyzing cloud resource utilization and adjusting the resource capacity (such as instance size or storage volume) to better match actual workload needs. By right-sizing, organizations can avoid paying for overprovisioned (idle or underutilized) resources and ensure they are not underpowered for their workloads. It is a cost optimization practice that helps leverage the pay-as-you-go nature of AWS effectively. It does not mean always choosing the largest resources, but rather the most appropriate size for the job.","Cloud Concepts"
10,"Which of the following is a benefit of using Infrastructure as Code (IaC) tools like AWS CloudFormation?","Consistent and repeatable provisioning of resources with reduced manual errors","Launching AWS services only through the AWS Management Console","Requiring physical hardware changes for resource updates","Manually configuring each server to ensure unique setups","Consistent and repeatable provisioning of resources with reduced manual errors","Infrastructure as Code (IaC) tools such as AWS CloudFormation allow you to define and provision your infrastructure using template files. This leads to consistent and repeatable deployments, since the same template can be used to create identical environments without human error. It also speeds up deployments and makes it easy to version-control infrastructure changes. Without IaC, manual configuration of resources can be error-prone and hard to reproduce exactly.","Cloud Concepts"
11,"Which of the following is an example of a managed AWS service that helps reduce a customer's operational maintenance tasks?","Amazon RDS, which handles database setup, patching, and backups","Amazon EC2, which requires customers to patch and maintain the OS","Hosting a database on an Amazon EC2 instance","Managing a Kubernetes cluster on self-managed EC2 instances","Amazon RDS, which handles database setup, patching, and backups","Amazon RDS (Relational Database Service) is a managed service for databases. AWS takes care of many administrative tasks for RDS, such as setting up the database environment, applying software patches, backing up data, and automating recovery. This reduces the operational burden on the customer compared to running a database on Amazon EC2 instances, where the customer is responsible for maintenance, patching, and backups. Managed services like RDS, DynamoDB, or AWS Lambda allow customers to focus more on application logic rather than infrastructure management.","Cloud Concepts"
12,"In the context of cloud computing, what does 'agility' refer to?","The ability to rapidly develop, test, and launch new applications in the cloud","The capability to physically access cloud servers quickly","The requirement of long-term contracts for cloud resources","The manual process of scaling hardware in a data center","The ability to rapidly develop, test, and launch new applications in the cloud","Agility in cloud computing means the speed and flexibility to innovate faster. Using AWS, developers and businesses can quickly set up and experiment with infrastructure and services, accelerating the development and deployment of new applications. This is possible because resources can be provisioned in minutes and scaled as needed without lengthy procurement or setup. Cloud agility helps organizations respond swiftly to changing business needs and market opportunities.","Cloud Concepts"
13,"Deploying an application across multiple Availability Zones within an AWS Region is primarily beneficial for achieving which objective?","High availability and fault tolerance","Lower data transfer costs between Regions","Improved application performance through code optimization","Reducing the need for a content delivery network","High availability and fault tolerance","Using multiple Availability Zones (AZs) provides high availability and fault tolerance for applications. If one AZ experiences an outage, the application can continue running from another AZ, minimizing downtime. AZs are isolated from each other to prevent failures from spreading, but they are connected with low-latency networks. While using multiple AZs may incur some data transfer cost between AZs, the primary reason to deploy multi-AZ is resilience, not cost reduction or application code performance improvements.","Cloud Concepts"
14,"Which statement correctly describes the relationship between AWS Regions and Availability Zones (AZs)?","Each AWS Region consists of multiple, isolated Availability Zones","Each Availability Zone contains multiple AWS Regions","Regions and Availability Zones are different terms for the same concept","An AWS Availability Zone spans multiple geographic Regions","Each AWS Region consists of multiple, isolated Availability Zones","AWS Regions are separate geographic areas where AWS operates cloud infrastructure. Each Region contains multiple Availability Zones (AZs). An Availability Zone is one or more discrete data centers with redundant power, networking, and connectivity in a Region. Using multiple AZs within a Region allows for high availability. AZs do not span Regions; they are specific to their Region.","Cloud Concepts"
15,"A company runs some of its workloads in AWS and some in its own on-premises data center, connected by a VPN. What type of cloud deployment is this?",Hybrid cloud,Public cloud,Private cloud,Community cloud,Hybrid cloud,"A hybrid cloud deployment combines on-premises infrastructure (or private cloud resources) with public cloud services like AWS. In this scenario, the company is using AWS (a public cloud) for some workloads while still running other workloads in its own data center, with connectivity between the two environments (e.g., via VPN or Direct Connect). This mix of on-premises and cloud resources defines a hybrid cloud. Public cloud means fully utilizing a cloud provider's infrastructure, private cloud means an internal cloud environment, and community cloud refers to a cloud shared by several organizations with common concerns.","Cloud Concepts"
16,"Moving an existing on-premises application to AWS without changing its architecture or design is an example of which cloud migration strategy?","Rehosting (\"lift-and-shift\")","Refactoring (re-architecting)","Replatforming (\"lift-tinker-and-shift\")",Retiring,"Rehosting (\"lift-and-shift\")","Rehosting, often called \"lift-and-shift,\" is a migration strategy where an application is moved to the cloud with little or no modification to its architecture. The application is essentially lifted from the on-premises environment and shifted to AWS (for example, moving it to Amazon EC2 instances) without redesigning how it works. This approach is quick and preserves the existing design of the application. Refactoring involves a complete overhaul to better use cloud-native features, replatforming makes some optimizations without a full refactor, and retiring means decommissioning an obsolete application.","Cloud Concepts"
17,"Which of the following is NOT an advantage of using cloud computing with AWS?","Large upfront capital investments in hardware are required","The ability to scale resources up or down based on demand","Global accessibility through deployment in multiple regions","Paying only for the compute and storage resources you use","Large upfront capital investments in hardware are required","Cloud computing with AWS eliminates the need for large upfront capital investments in hardware. Instead, AWS provides on-demand scalability and a pay-as-you-go pricing model, meaning you only pay for what you use. Additionally, AWS’s global infrastructure allows you to deploy applications in multiple regions for worldwide accessibility and lower latency. Requiring big upfront hardware purchases is a characteristic of traditional on-premises IT, not a benefit of using AWS Cloud.","Cloud Concepts"
